UT,AU,AF
WOS:000743312400001,"Gethin, A; Martínez-Toledano, C; Piketty, T","Gethin, Amory; Martinez-Toledano, Clara; Piketty, Thomas"
WOS:000728439200008,"Bonomi, G; Gennaioli, N; Tabellini, G","Bonomi, Giampaolo; Gennaioli, Nicola; Tabellini, Guido"
WOS:000728439200012,"Cantoni, E; Pons, V","Cantoni, Enrico; Pons, Vincent"
WOS:000672777600005,"Abaluck, J; Bravo, MC; Hull, P; Starc, A","Abaluck, Jason; Bravo, Mauricio Caceres; Hull, Peter; Starc, Amanda"
WOS:000672777600008,"Hanson, SG; Lucca, DO; Wright, JH","Hanson, Samuel G.; Lucca, David O.; Wright, Jonathan H."
WOS:000544017700008,"Sandvik, JJ; Saouma, RE; Seegert, NT; Stanton, CT","Sandvik, Jason J.; Saouma, Richard E.; Seegert, Nathan T.; Stanton, Christopher T."
WOS:000489163400009,"Hassan, TA; Hollander, S; van Lent, L; Tahoun, A","Hassan, Tarek A.; Hollander, Stephan; van Lent, Laurence; Tahoun, Ahmed"
WOS:000489162100008,"Enke, B","Enke, Benjamin"
WOS:000489161300003,"Beraja, M; Fuster, A; Hurst, E; Vavra, J","Beraja, Martin; Fuster, Andreas; Hurst, Erik; Vavra, Joseph"
WOS:000489161300010,"Caicedo, FV","Caicedo, Felipe Valencia"
WOS:000451280400001,"Chetty, R; Hendren, N","Chetty, Raj; Hendren, Nathaniel"
WOS:000435871300004,"Dell, M; Querubin, P","Dell, Melissa; Querubin, Pablo"
WOS:000412764300003,"Fajgelbaum, PD; Schaal, E; Taschereau-Dumouchel, M","Fajgelbaum, Pablo D.; Schaal, Edouard; Taschereau-Dumouchel, Mathieu"
